date,actual_views,predicted_views
2018-05-06,197256357.0,198011340.0
2018-05-07,200897941.0,196248930.0
2018-05-08,207312970.99999997,198492020.0
2018-05-09,211694059.0,201221380.0
2018-05-10,219539355.99999997,203974670.0
2018-05-11,220296015.99999997,207368930.0
2018-05-12,166174122.99999997,208401600.0
2018-05-13,118175904.0,169904100.0
2018-05-14,272161637.0,128063320.0
2018-05-15,138603807.0,188443890.0
2018-05-16,129613839.00000001,143840510.0
2018-05-17,133123004.0,134200450.0
2018-05-18,137351727.0,136420560.0
2018-05-19,140789017.0,142886750.0
2018-05-20,144321533.0,149346400.0
2018-05-21,155363916.99999997,154727120.0
2018-05-22,167750789.0,160962600.0
2018-05-23,178156814.99999997,168048290.0
2018-05-24,189907010.0,173541870.0
2018-05-25,194507822.99999997,179360000.0
2018-05-26,164866313.0,184347490.0
2018-05-27,155060436.0,170181310.0
2018-05-28,171041112.0,162363180.0
2018-05-29,174131473.99999997,174617360.0
2018-05-30,163403287.0,180572670.0
2018-05-31,150990879.0,172537890.0
2018-06-01,181504599.99999997,161365820.0
2018-06-02,180673314.99999997,177659860.0
2018-06-03,185844004.99999997,181925550.0
2018-06-04,190924185.0,185335820.0
2018-06-05,198029355.0,187548220.0
2018-06-06,186237225.0,190554600.0
2018-06-07,198220377.99999997,187370220.0
2018-06-08,191097672.99999997,194844900.0
2018-06-09,205005503.99999997,192331540.0
2018-06-10,179157665.0,198702400.0
2018-06-11,182521448.0,183462430.0
2018-06-12,165988363.99999997,186258910.0
2018-06-13,174233775.0,173816290.0
2018-06-14,173378764.0,179413860.0
